,id,tweet,sarcastic,rephrase,dialect
1414,1415,عبر الناس داخل الكاتدرائية عن مشاعرهم بحرقة بعد قتل ابناءهم و بسبب التغطية الأعلامية الرسمية المخزية,0,,msa
700,701,وحده تقول :  الرجوله افعال اما الشنب حتى صديقاتي عندهم,1,وحده تقول :  الرجوله افعال اما الشنب حتى النساء يمكن ان يكون لهم شنب,nile
554,555,لو انت لمستها هحطك تحتها,1,كلام تكاتك يعني لو قربت منها هدوسك بيها,nile
956,957,  التغطية مستمرة  لافروف : مقاتلو المعارضة الرافضين مغادرة شرق  حلب سيعاملون كإرهابيين.  روسيا  سوريا نقطة من اول السطر ,0,,msa
2895,2896,ده شغل برشام سواء كان من الكاتب والا المخرج ولا الممثلين,0,,nile
81,82,انتي فاكرة نفسك .ست,1,انتي فاكرة نفسك حلوة,nile
762,763,  سوريا النائب قربي:  ندعو المجتمع الدولي للضغط على  تركيا لاغلاق الحدود أمام المجموعات الإرهابية ادلب  حلب  داعش  جبهة النصرة ,0,,msa
1388,1389, خلق جميل تحترم اي امراءة وماتجرحها لابقول ولابعمل,0,,msa
338,339,محمد رمضان واخد الدكتوراة ف الضحك,1,واخد شهادة الدكتوراة وهو مكملش تعليم اصلا,nile
714,715,عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
2953,2954,ده انا محتاجه اعمل وريد صناعى علشان اغسل منه ومن شهر لحد دلوقتي معملتش العمليه والقرار موجود فى المستشفى,0,,nile
2286,2287,  عاجل | اندلاع مواجهات بين شبان وقوات الاحتلال في بلدة  عنبتا شرق  طولكرم قبل قليل فلسطين ,0,,msa
1667,1668,شكرا على مشاعرك الطيبة,0,,msa
1348,1349, الهيئه الخيرية الاسلاميه :مرزوق علي الغانم يتكفل بنقل عشرات الالاف من النازحين السوريين من حلب الى المناطق الامنه مع توفير كل احتياجاتهم ،. ,0,,msa
1903,1904,   لغز الحياة  مصطفي محمود  البرنس,0,,msa
447,448,بيقولك الصفقة الاولى للزمالك عمر كمال و في انتظار حسن شاكوش و حمو بيكا,1,فريق الزمالك صفقاته ضعيفة وسيئة,nile
1194,1195,شبرا العظيمة دوماكل يناير واحنا هنا,0,,gulf
262,263,وعرفت ازاى انك فقدت الشغف مابقاش عايز اجيب السياره الراقصة,1,مابقاش فى حاجه بقت يتلفت انتباهى,nile
689,690,يعيش البجح على قفا المكسوف,1,البجح بياخد حقه وحق اللى بتكسف يطلب حقه,nile
847,848,رئيس المجلس الاعلى للقضاء الحالى من رموز استقلال القضاء وقد صنع مشروعا عظيما مع المستشار احمد مكي من اجل استقلال القضاء الواجب مساندته,0,,msa
478,479,ده فاكر نفسو يونس شلبى,1,ده غبى فاكر نفسو بيقول افهات زى يونس شلبى,nile
687,688,عندها 9 عيال وعايشة حياتها وبتتصور وهى حاطة رجل على رجل وأنتى معاكى عيل واحد ومحتاسة بيه 😂😂,1,هى شاظرة وعارفة تدير أمورها وأنت خايبة ومش عارفة تتصرفى,nile
1526,1527, 🔹الثقافة القرآنية🔘 في هذا العصر نحن بأمس الحاجة لاستذكار نبينا وتعزيز الارتباط به من جديد. 💚ذكرئ.المولد.النبوي.الشريف ,0,,msa
446,447,نحن الجميلات علينا أن نتظاهرَ بالغباءِ حتى لا ينزعِج الرجال,1,نحن النساء أذكى من الرجال ,msa
346,347,الى مايحب النسوان الله يبعتله عله,1,من يكره النساء ويهمش دورهم هو غير جيد,levant
697,698,بعد علاقة غير شرعية دامة عشرين سنة أمريكا تطلق أفغانستان بثلاث,1,أستقلال أفغانستان,msa
2125,2126,لماذا استسلم  الإخوان لفكرة التحول من مقموعين إلى قامعين,0,,msa
375,376,التفكير في اللي ضاع مايجبش غير الصداع,1,التفكير اللي حصل وفات خلاص مش هينوبك منه غير الأذية وبس,nile
2920,2921,اصل بان في عنيك غل كتير ونفسنة,0,,nile
306,307,محمد صلاح فخر العرب,1,لاعب عالمى يشعر كل عربى يشاهده بالفخر,nile
1806,1807,الرضا  خلق جميل,0,,msa
1273,1274,د البلتاجي مخ,0,,msa
