,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
341,341,@Dancruz07 Sureeeeeee you do,1,"I could've replied ""You do not despise me, you're my best friend.""",1.0,0.0,0.0,0.0,0.0,0.0
138,138,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1,"I would omit the ""who'da thunk"" part.",1.0,0.0,0.0,0.0,0.0,1.0
241,241,"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",1,Theresa May just needs to answer the question.,1.0,0.0,0.0,0.0,0.0,0.0
1359,1359,Someone in Walmart asked my mom if I was a boy or a girl (in front of my FaCe) so that’s how I’ve been,0,,,,,,,
588,588,"Being a mom with an autoimmune disease means I am a grown ass woman that caught hand, foot, and mouth from my daughter. My Hashimotos sucks. Thanks for all the sicknesses I so graciously suffer and should not be suffering at 40.",1,I wouldn't because sarcasm is the only weapon I have against this stuff,1.0,0.0,0.0,0.0,0.0,0.0
35,35,@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,Repulsing people would certainly draw attention.,1.0,0.0,0.0,0.0,0.0,0.0
3176,3176,crying in the krispy kreme parking lot cause the girl in the drive thru gave me an extra doughnut and told me to have a beautiful day,0,,,,,,,
2671,2671,"New heated socks review! Are they any good? Find out for yourself :)
https://t.co/FQ2WHrYwd2 https://t.co/mNjWOUhhTu",0,,,,,,,
2029,2029,when i was younger i was restricted to one hour a day on the computer.....how did i survive,0,,,,,,,
1746,1746,#McflyAllAboutUs got me right in the feels ❤️,0,,,,,,,
3151,3151,someone please explain to me how our queen @taylorswift13 had time to create the masterpiece(!!!) of #evermorealbum while soaking in folklore’s success AND re-recording 5 previous albums?!!! she is too good to us 💙💙,0,,,,,,,
196,196,@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,1,Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. You have surprised me by reaching new depths of depravity via tweeting this.,1.0,0.0,0.0,0.0,0.0,0.0
2395,2395,this is pretty abysmal,0,,,,,,,
1541,1541,Does anyone else sit in their car for at least ten minutes to mentally prepare to enter the grocery store?,0,,,,,,,
668,668,@TheSpursExpress @JBurtTelegraph I've done this to my employer too. I'm expecting we'll both get the same answer,1,"""Football acts in such a strange way, with players asking for huge increases while already under a long contract""",1.0,0.0,0.0,0.0,0.0,0.0
3069,3069,"Every episode of Curious George ever: the humans inexplicably leave a chimpanzee in charge of something important, wacky hijinks ensue.",0,,,,,,,
2304,2304,i don’t think i’ve ever truly brushed my teeth correctly,0,,,,,,,
3097,3097,this world is so small I swear everyone knows at least 1 person you might know,0,,,,,,,
1827,1827,"I love drawing feets 👹👹👹
Must draw more feet 👹✨",0,,,,,,,
99,99,watching olympic womens beach volleyball for the plot,1,I watch women's beach volleyball for the hot women.,1.0,0.0,0.0,0.0,0.0,0.0
7,7,someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1,Simply “I’m miserable.”,1.0,0.0,0.0,0.0,0.0,0.0
1224,1224,HOW DO THEY GET THEIR HORSES TO JAPAN,0,,,,,,,
69,69,"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
1560,1560,besties i may have flooded my bathroom with an inch of water,0,,,,,,,
614,614,I’m gonna miss scantrons shortening my name to “Christ” after 16 years,1,I'm not going to miss scantrons shortening my name to “Christ” after 16 years,0.0,1.0,0.0,0.0,0.0,0.0
2991,2991,I think i’m addicted to dead by daylight,0,,,,,,,
1633,1633,Mnet girls planet 999 top 9 choices literally all horrific forgettable girls not charming or enjoyable to watch clearly biased to k group I’m literally going to take action,0,,,,,,,
159,159,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1,"Fed up of seeing forced romance, don't be told when to do something nice for a person you love.",0.0,1.0,0.0,0.0,0.0,0.0
777,777,My life has gone from ‘drive it like you stole it’ to ‘drive it like your toddler needs the toilet’.,1,My life priorities have changed ,1.0,0.0,0.0,0.0,0.0,0.0
356,356,"Wow. Liam Neeson is coming across as a rational man,isn't he!!?",1,"Just because he had a family member attacked by a black person, doesn't give Liam Neeson the right to kill a random person of colour.",1.0,0.0,0.0,0.0,0.0,1.0
2826,2826,started taking my medicine again let’s see if i stick to it this time ‼️,0,,,,,,,
2460,2460,wild that theres a whole industry of pop ups that are like just elaborate ig photo ops and people are paying for them???,0,,,,,,,
479,479,"hello to all three of my followers, this is my big return to twitter",1,I'm posting on Twitter again.,1.0,0.0,0.0,0.0,1.0,0.0
1717,1717,"The Drake and Josh theme song, “I Found a Way”, is the best Nickelodeon TV theme song and that is a fact",0,,,,,,,
421,421,"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody.",1,"The National Trust don't care about their staff, it's nice to see that some organisations do and I wish I knew what that was like. ",1.0,0.0,1.0,0.0,0.0,0.0
88,88,"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",1,She just wants you to use her make-up and skincare.,1.0,0.0,0.0,0.0,0.0,0.0
799,799,"@faith_hi @PalmerReport Ahh yes, quick peek at your page and you obviously know everything. Thank you for the enlightenment.😂",1,"If you want to sound like a professional, dress like one.",1.0,0.0,0.0,0.0,0.0,0.0
1861,1861,"It's been a bit since I've had a musical obsession on this level, but has anyone seen/heard Six?",0,,,,,,,
76,76,"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,Everyone needs gas-x after having beans. ,1.0,0.0,0.0,0.0,0.0,0.0
315,315,this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,1,"""This is my 3rd time taking the same biology course, I am not good at this subject at all""",1.0,0.0,0.0,0.0,0.0,0.0
1047,1047,My stray boy playing… he is looking well but still worried 😟 will manage one day to grab him. I got sliced up today though. https://t.co/lwL9sZMUUG,0,,,,,,,
2012,2012,RIP John Hughes,0,,,,,,,
1250,1250,my friends prof really monetized her lectures on youtube 🤣,0,,,,,,,
211,211,"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",1,"I brushed my hair today, how easy. ",1.0,0.0,0.0,0.0,0.0,0.0
253,253,Of course the moment I front the system is in utter chaos 🥴,1,I'm not happy about me fronting during chaos.,1.0,0.0,0.0,0.0,0.0,0.0
262,262,I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,1,"""I really think that older Republicans are lacking in self-awareness in the modern-day. They had a complete misstep and just ended up bullying a teenager.""",1.0,0.0,0.0,0.0,0.0,0.0
2394,2394,I despise 2021,0,,,,,,,
2585,2585,"Why do people keep posting TikToks with their HEADPHONE WIRES ALL KNOTTED????? I CAN NOT COPE WITH THIS, why wouldn’t you sort out that wirey mess pls🥺🥺",0,,,,,,,
615,615,"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",1,I’m bored in lockdown which has now resulted in me buying jigsaws like an old woman ,0.0,1.0,0.0,0.0,0.0,0.0
223,223,i’ve never had protected sex,1,I always use protection when having sex,1.0,0.0,0.0,0.0,0.0,0.0
1090,1090,Running on 2 hours of sleep the past 2 days 🥴,0,,,,,,,
1015,1015,"Join me on @WeAre8Official to help save our planet in just 2 minutes a day.
#UnitedForGood @WeAre8Official https://t.co/s2LdOOJleR",0,,,,,,,
3129,3129,who saw new Alan Partridge and VEEP last night? Double dunter of genius comedy! :D,0,,,,,,,
1663,1663,"Life is so beautiful when you stop taking it so seriously. 

Like chill dude. You’re doing just fine.",0,,,,,,,
